Date,Mkt_RF,SMB,HML,RMW,CMA,RF,AAPL_RET
2021-05-25,-0.3,-0.85,-1.23,0.2,-0.15,0.0,-0.1573374804358707
2021-05-26,0.46,1.77,0.57,-0.54,0.14,0.0,-0.03941330133601095
2021-05-27,0.27,1.08,0.95,-0.26,0.27,0.0,-1.2376686236424628
2021-05-28,0.04,-0.37,-0.32,-0.2,-0.4,0.0,-0.5348215432656622
2021-06-01,0.03,1.41,1.44,0.29,0.39,0.0,-0.2648292221453463
2021-06-02,0.11,-0.21,0.32,-0.07,0.7,0.0,0.6275980820203975
2021-06-03,-0.53,-0.25,0.73,0.41,0.34,0.0,-1.2154094132091897
2021-06-04,0.9,-0.59,-0.91,-0.15,-0.22,0.0,1.9022503692001536
2021-06-07,0.14,1.27,-0.95,-1.0,-0.21,0.0,0.007944659452707725
2021-06-08,0.18,1.08,-0.31,0.07,-0.09,0.0,0.6671803680762034
2021-06-09,-0.29,-0.45,-0.84,0.16,0.19,0.0,0.3077205756004897
2021-06-10,0.41,-1.33,-2.05,-0.56,-1.05,0.0,-0.8023344395964083
2021-06-11,0.37,0.72,0.17,0.04,0.0,0.0,0.9832643351557868
2021-06-14,0.15,-0.75,-1.62,-0.59,-0.49,0.0,2.4577836313589785
2021-06-15,-0.3,0.23,1.28,0.67,0.13,0.0,-0.6437677572067035
2021-06-16,-0.46,0.43,0.2,-0.34,-0.24,0.0,0.39340918820154336
2021-06-17,0.01,-1.35,-3.57,-0.7,-1.1,0.0,1.2600733709957845
2021-06-18,-1.23,-0.8,-1.44,-0.43,-0.71,0.0,-1.0091758579122145
2021-06-21,1.36,0.84,1.06,0.4,0.31,0.0,1.410394457299624
2021-06-22,0.58,-0.09,-0.43,0.2,0.2,0.0,1.2698231813363048
2021-06-23,0.0,0.51,-0.29,-0.48,-0.24,0.0,-0.2089718031644816
2021-06-24,0.69,0.74,0.23,-0.39,0.26,0.0,-0.2168841395825627
2021-06-25,0.31,-0.5,0.43,-0.14,0.06,0.0,-0.22488169473789954
2021-06-28,0.21,-0.86,-1.59,-0.49,-0.14,0.0,1.2545881368756895
2021-06-29,0.01,-0.39,-0.3,0.31,0.39,0.0,1.1500188155782132
2021-06-30,0.07,0.13,0.75,0.72,0.64,0.0,0.462121797882431
2021-07-01,0.44,0.42,0.44,0.0,0.33,0.0,0.2263382027849259
2021-07-02,0.56,-1.53,-0.7,0.66,-0.14,0.0,1.959663076630358
2021-07-06,-0.27,-1.02,-2.0,0.55,-0.75,0.0,1.4718511005220591
2021-07-07,0.1,-0.84,0.08,1.7,0.35,0.0,1.7955269961153153
2021-07-08,-0.86,-0.01,-0.79,-0.22,-0.03,0.0,-0.9200184858320748
2021-07-09,1.26,0.85,1.57,-0.17,0.41,0.0,1.3055216567339434
2021-07-12,0.23,-0.02,0.56,0.28,-0.27,0.0,-0.4203544138884019
